fight_stat_id,fight_id,fighter_id,knockdowns,total_strikes_att,total_strikes_succ,sig_strikes_att,sig_strikes_succ,takedown_att,takedown_succ,submission_att,reversals,ctrl_time,event_id,referee,f_1,f_2,winner,num_rounds,title_fight,weight_class,gender,result,result_details,finish_round,finish_time,fighter_height_cm,fighter_weight_lbs,fighter_reach_cm,fighter_stance,fighter_dob,fighter_w,fighter_l,fighter_d,fighter_nc_dq,event_city,event_country
4343,2172,234.0,0.0,114.0,49.0,112.0,48.0,6.0,3.0,1.0,1.0,171.0,228,4,3612.0,234.0,3612.0,3.0,0,3,0,1,1,3,300,182.88,170.0,185.42,0.0,33.007529089664615,10,5,0,0.0,27,0
4342,2171,3868.0,0.0,121.0,43.0,112.0,36.0,10.0,4.0,1.0,0.0,238.0,227,6,3868.0,1780.0,3868.0,5.0,1,4,0,2,17,4,237,167.64,145.0,177.8,0.0,37.14715947980835,34,9,0,1.0,7,4
4341,2171,1780.0,0.0,95.0,29.0,92.0,26.0,1.0,0.0,0.0,0.0,0.0,227,6,3868.0,1780.0,3868.0,5.0,1,4,0,2,17,4,237,175.26,135.0,177.8,0.0,33.190965092402465,17,4,0,0.0,7,4
4340,2170,484.0,0.0,150.0,80.0,126.0,58.0,2.0,2.0,0.0,0.0,181.0,227,68,484.0,1189.0,484.0,3.0,0,1,0,1,1,3,300,172.72,145.0,177.8,0.0,40.394250513347025,29,13,0,0.0,7,4
4339,2170,1189.0,0.0,158.0,70.0,140.0,58.0,9.0,2.0,0.0,0.0,242.0,227,68,484.0,1189.0,484.0,3.0,0,1,0,1,1,3,300,175.26,155.0,182.88,1.0,35.17864476386037,29,8,0,1.0,7,4
4338,2169,1871.0,0.0,36.0,18.0,36.0,18.0,3.0,3.0,0.0,0.0,142.0,227,55,1871.0,3231.0,1871.0,3.0,0,10,0,4,115,1,300,185.42,205.0,200.66,0.0,44.09856262833676,17,6,0,0.0,7,4
4337,2169,3231.0,0.0,16.0,11.0,14.0,9.0,0.0,0.0,0.0,0.0,19.0,227,55,1871.0,3231.0,1871.0,3.0,0,10,0,4,115,1,300,198.12,205.0,205.74,1.0,50.46680355920602,19,10,1,0.0,7,4
4336,2168,1496.0,0.0,86.0,47.0,80.0,42.0,4.0,2.0,0.0,0.0,338.0,227,6,1496.0,844.0,1496.0,3.0,0,3,0,1,1,3,300,180.34,170.0,182.88,2.0,35.657768651608485,19,5,1,0.0,7,4
4335,2168,844.0,0.0,134.0,52.0,123.0,43.0,0.0,0.0,0.0,0.0,12.0,227,6,1496.0,844.0,1496.0,3.0,0,3,0,1,1,3,300,185.42,170.0,190.5,0.0,43.45790554414784,25,12,0,0.0,7,4
4334,2167,429.0,0.0,166.0,121.0,79.0,49.0,5.0,2.0,0.0,0.0,398.0,227,55,429.0,2380.0,429.0,3.0,0,10,0,1,1,3,300,187.96,185.0,190.5,0.0,42.48596851471595,16,9,0,0.0,7,4
4333,2167,2380.0,1.0,77.0,56.0,52.0,34.0,2.0,0.0,0.0,0.0,381.0,227,55,429.0,2380.0,429.0,3.0,0,10,0,1,1,3,300,185.42,205.0,185.42,0.0,42.32443531827516,19,5,0,0.0,7,4
