fight_stat_id,fighter_id,referee,f_1,f_2,winner,num_rounds,title_fight,weight_class,gender,fighter_height_cm,fighter_weight_lbs,fighter_reach_cm,fighter_stance,fighter_dob,fighter_w,fighter_l,fighter_d,fighter_nc_dq,event_city,event_country,cumulative_ctrl_time,cumulative_reversals,cumulative_submission_att,cumulative_takedown_succ,cumulative_takedown_att,cumulative_sig_strikes_att,cumulative_total_strikes_succ,cumulative_total_strikes_att,cumulative_knockdowns,avg_finish_time
5612,13.0,38,13.0,168.0,168.0,3.0,0,4,0,165.1,125.0,162.56,0.0,33.12799452429842,2,4,0,0.0,119,13,98.25,0.5,0.0,0.5,3.0,76.25,38.25,99.5,0.0,236.0
6307,13.0,153,395.0,13.0,13.0,3.0,0,9,0,165.1,125.0,162.56,0.0,33.12799452429842,2,4,0,0.0,109,25,52.0,0.0,0.0,0.6666666666666666,4.0,79.33333333333333,15.333333333333334,82.0,0.0,214.66666666666666
6818,13.0,7,13.0,747.0,747.0,3.0,0,9,0,165.1,125.0,162.56,0.0,33.12799452429842,2,4,0,0.0,101,9,58.5,0.0,0.0,0.5,3.0,65.0,17.0,67.0,0.0,172.0
7750,13.0,7,13.0,2103.0,2103.0,3.0,0,9,0,165.1,125.0,162.56,0.0,33.12799452429842,2,4,0,0.0,39,1,115.0,0.0,0.0,1.0,6.0,124.0,33.0,128.0,0.0,300.0
9331,16.0,83,431.0,16.0,16.0,3.0,0,2,1,162.56,115.0,160.02,2.0,34.614647501711154,24,3,0,0.0,60,0,199.6,0.2,0.3,1.9,4.5,142.1,106.4,179.5,0.3,205.4
9582,16.0,39,16.0,4082.0,16.0,3.0,0,2,1,162.56,115.0,160.02,2.0,34.614647501711154,24,3,0,0.0,64,13,216.44444444444446,0.2222222222222222,0.3333333333333333,2.0,4.777777777777778,136.33333333333334,109.0,177.22222222222223,0.3333333333333333,194.88888888888889
9861,16.0,5,375.0,16.0,16.0,3.0,0,2,1,162.56,115.0,160.02,2.0,34.614647501711154,24,3,0,0.0,0,0,224.75,0.25,0.125,2.125,5.0,146.125,114.75,189.5,0.375,191.625
10401,16.0,55,3976.0,16.0,16.0,5.0,1,2,1,162.56,115.0,160.02,2.0,34.614647501711154,24,3,0,0.0,42,13,216.85714285714286,0.14285714285714285,0.14285714285714285,2.142857142857143,4.571428571428571,146.71428571428572,114.28571428571429,187.42857142857142,0.42857142857142855,176.14285714285714
10894,16.0,16,16.0,2396.0,16.0,5.0,1,2,1,162.56,115.0,160.02,2.0,34.614647501711154,24,3,0,0.0,0,0,252.83333333333334,0.16666666666666666,0.16666666666666666,2.5,5.333333333333333,164.83333333333334,128.5,212.33333333333334,0.3333333333333333,198.5
11936,16.0,16,16.0,1523.0,1523.0,5.0,1,2,1,162.56,115.0,160.02,2.0,34.614647501711154,24,3,0,0.0,8,0,288.6,0.2,0.2,2.8,4.8,116.2,120.2,172.2,0.4,178.2
12487,16.0,6,1523.0,16.0,1523.0,5.0,1,2,1,162.56,115.0,160.02,2.0,34.614647501711154,24,3,0,0.0,18,0,360.75,0.25,0.25,3.5,6.0,142.5,148.5,212.5,0.5,203.25
13072,16.0,6,16.0,2396.0,16.0,3.0,0,2,1,162.56,115.0,160.02,2.0,34.614647501711154,24,3,0,0.0,3,3,408.6666666666667,0.3333333333333333,0.3333333333333333,3.0,4.333333333333333,132.33333333333334,144.0,192.66666666666666,0.6666666666666666,171.0
13525,16.0,16,3063.0,16.0,16.0,5.0,1,2,1,162.56,115.0,160.02,2.0,34.614647501711154,24,3,0,0.0,18,0,528.5,0.5,0.5,3.0,3.5,147.5,169.0,224.0,0.5,182.5
14322,16.0,15,16.0,2057.0,16.0,5.0,1,2,1,162.56,115.0,160.02,2.0,34.614647501711154,24,3,0,0.0,4,0,967.0,0.0,0.0,6.0,7.0,217.0,296.0,358.0,1.0,300.0
5155,17.0,28,196.0,17.0,17.0,3.0,1,3,0,180.34,155.0,180.34,1.0,34.04243668720055,23,9,1,0.0,119,13,267.25,0.0,0.75,1.75,5.75,39.5,66.25,96.75,0.0,300.0
